,Predictions,FileNames
0,disgust,03-01-08-02-01-01-06.wav
1,disgust,03-01-01-01-02-01-16.wav
2,calm,03-01-08-01-02-02-13.wav
3,angry,03-01-05-02-02-01-24.wav
4,happy,03-01-03-02-01-02-07.wav
5,calm,03-01-08-01-02-01-15.wav
6,disgust,03-01-08-01-02-01-19.wav
7,calm,03-01-03-01-01-01-09.wav
8,surprised,03-01-08-01-01-02-02.wav
9,disgust,03-01-05-01-01-02-19.wav
10,calm,03-01-02-02-02-02-12.wav
11,angry,03-01-05-02-02-02-08.wav
12,disgust,03-01-08-02-01-02-16.wav
13,calm,03-01-02-02-01-02-11.wav
14,disgust,03-01-07-01-02-01-19.wav
15,angry,03-01-05-02-01-02-22.wav
16,calm,03-01-07-01-02-01-14.wav
17,calm,03-01-08-02-01-01-01.wav
18,disgust,03-01-02-02-02-02-22.wav
19,happy,03-01-03-01-01-01-06.wav
20,disgust,03-01-03-01-01-01-12.wav
21,surprised,03-01-08-01-02-01-16.wav
22,disgust,03-01-07-01-01-01-01.wav
23,happy,03-01-03-01-01-01-15.wav
24,calm,03-01-01-01-02-01-02.wav
25,disgust,03-01-02-01-01-01-08.wav
26,happy,03-01-08-02-01-02-03.wav
27,neutral,03-01-03-01-02-01-20.wav
28,neutral,03-01-08-01-01-01-18.wav
29,disgust,03-01-03-01-01-01-16.wav
30,disgust,03-01-05-01-02-02-20.wav
31,angry,03-01-03-02-01-02-17.wav
32,surprised,03-01-08-02-02-02-24.wav
33,calm,03-01-05-01-02-01-20.wav
34,calm,03-01-02-02-02-01-12.wav
35,angry,03-01-05-02-02-02-16.wav
36,surprised,03-01-08-01-02-02-24.wav
37,calm,03-01-02-01-02-02-11.wav
38,disgust,03-01-08-02-01-02-07.wav
39,calm,03-01-01-01-02-02-01.wav
40,disgust,03-01-08-01-01-01-05.wav
41,disgust,03-01-07-01-01-01-21.wav
42,disgust,03-01-07-01-01-02-03.wav
43,disgust,03-01-01-01-01-01-23.wav
44,calm,03-01-03-01-02-01-05.wav
45,happy,03-01-03-02-02-02-15.wav
46,happy,03-01-05-01-01-02-20.wav
47,calm,03-01-01-01-01-02-24.wav
48,calm,03-01-01-01-01-02-14.wav
49,calm,03-01-01-01-02-01-15.wav
50,angry,03-01-05-02-02-01-14.wav
51,disgust,03-01-02-02-01-01-07.wav
52,disgust,03-01-01-01-01-02-18.wav
53,calm,03-01-02-01-01-01-22.wav
54,happy,03-01-03-02-02-02-02.wav
55,happy,03-01-02-02-02-02-03.wav
56,surprised,03-01-08-02-01-01-18.wav
57,happy,03-01-03-02-01-02-04.wav
